#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_3606	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3607	0	0	0	38	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV_3608	0	0	0	29	0	0	0	0	4	0	7	0	3	2	2	0	0	0	5	0	7	0	0	0	0	0	0	12	0	0
ASV_3609	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	9	11	4	0	18	0	6	0
ASV_3610	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	0	15	0	15	0	0	3	0	6	0	3	7	0	11	0
ASV_3611	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	2	12	0
ASV_3612	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	3	5	22	0
ASV_3613	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0	6	6	18	0
ASV_3614	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	15	0	6	0	0	5	0	0	0	0	34	0
ASV_3615	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	45	0
ASV_3616	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	28	0	0	0	0	3	0	2	8	0	23	0
ASV_3617	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	5	7	3	0	4	0	0	0	0	0	12	13	12	7
ASV_3618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	0	56	0
ASV_3619	0	0	0	0	0	0	0	0	0	0	2	0	19	11	0	0	0	0	0	0	0	0	6	29	0	0	0	2	0	2
ASV_3620	0	0	0	0	0	0	0	0	0	0	15	0	0	0	5	0	0	0	0	0	20	6	6	7	8	3	0	0	0	0
ASV_3621	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	18	0	0	3	7	0	8	0	0	0	21	0	0	7
ASV_3622	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	4	0	2	0	0	10	0	3	0	0	3	0	41	0	0
ASV_3623	0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	13	7	0	11	14	0	11	0	0	3
ASV_3624	0	0	0	0	0	0	0	0	0	0	0	0	17	0	6	0	0	0	0	0	0	9	14	0	19	7	0	0	0	0
ASV_3625	0	0	0	0	0	0	0	0	0	0	0	0	0	26	7	0	0	0	0	0	0	0	0	33	6	0	0	0	0	0
ASV_3626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	34	0	0	0	0	0	0	32	0	0	0	0	0
ASV_3627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	14	0	0	46	3	6	0	0	0
ASV_3628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	13	0	50	0	0
ASV_3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	0	0	5	0	8	43	0
ASV_3630	8	0	0	0	0	0	0	0	0	0	13	0	6	7	0	0	0	0	0	0	4	0	16	7	2	2	0	4	0	0
ASV_3631	7	0	0	0	0	5	0	0	0	0	4	0	2	0	0	0	12	0	0	0	7	13	2	0	0	0	9	4	0	6
ASV_3632	6	0	8	0	0	0	0	0	0	4	7	0	2	0	0	0	0	0	0	0	7	0	32	2	0	0	0	0	0	3
ASV_3633	4	0	0	0	0	7	4	0	8	0	5	0	0	0	0	0	0	0	10	0	4	3	0	0	10	0	0	8	6	0
ASV_3634	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	18	7	0	5	0	0	2	0	0	11	8	0	2
ASV_3635	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	5	6	0	5	20	0	0	28
ASV_3636	0	0	7	0	0	0	0	0	0	0	6	0	6	0	0	2	16	0	0	0	6	6	0	0	0	6	13	0	0	2
ASV_3637	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	12	0	0	0	0	0	0	0	0
