Feature ID	taxonomy
ASV_1152	Bacteria, Actinobacteriota, Thermoleophilia, Gaiellales, Gaiellaceae, Gaiella, uncultured_bacterium
ASV_1153	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Solirubrobacter, uncultured_bacterium
ASV_1154	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Nitrosomonadaceae, MND1
ASV_1155	Bacteria, Patescibacteria, Saccharimonadia, Saccharimonadales, Saccharimonadales, Saccharimonadales, uncultured_bacterium
ASV_1156	Bacteria, Acidobacteriota, Blastocatellia, Pyrinomonadales, Pyrinomonadaceae, RB41, uncultured_bacterium
ASV_1157	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Solirubrobacter, uncultured_bacterium
ASV_1158	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia, Paraburkholderia_phenazinium
ASV_1159	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_116	Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Nocardioides
ASV_1160	Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, Puia, metagenome
ASV_1161	Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, Flavitalea, uncultured_bacterium
ASV_1162	Bacteria, Myxococcota, Polyangia, Polyangiales, BIrii41, BIrii41, uncultured_bacterium
ASV_1163	Bacteria, Planctomycetota, Planctomycetes, Isosphaerales, Isosphaeraceae, Aquisphaera, uncultured_bacterium
ASV_1164	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1165	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas
ASV_1166	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae
ASV_1167	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured
