Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	Shared
ASV_5850	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5850	0	0	0	0	0	0	0	0	0.105748032907354	0	0	0	0	0	0	0	Non-core
ASV_4455	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Pirellula	ASV_4455	0	0.0122028603504661	0	0	0.0708947508344903	0.011568718186025	0	0.015226990929064	0	0.0157084511467169	0.00537750053775005	0	0.00663988579396434	0	0.00686553842985136	0	Rhizhomorph_Soil associated
ASV_6045	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_soil	ASV_6045	0	0	0	0.01572285841566	0	0.00578435909301249	0	0.0130517065106263	0	0.00785422557335847	0	0	0.0165997144849109	0	0.00343276921492568	0	Rhizhomorph_Soil associated
ASV_4243	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_soil	ASV_4243	0	0	0.00837170364169108	0	0	0.0144608977325312	0.0190985485103132	0.015226990929064	0	0	0.0107550010755001	0	0.0265595431758574	0.0141345610209191	0.0154474614671656	0.0110372230346845	Rhizhomorph_Soil associated
ASV_6219	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_6219	0	0.0439302972616781	0	0.01048190561044	0	0.00578435909301249	0	0	0	0	0.00537750053775005	0	0	0	0	0	Soil associated
ASV_6053	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_6053	0	0	0	0	0	0	0	0.0130517065106263	0.0627318839280913	0.00471253534401508	0	0	0	0.0040384460059769	0	0	Rhizhomorph
ASV_4143	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_soil	ASV_4143	0	0	0.0167434072833822	0	0.0324934274658081	0	0.0453590527119939	0.0282786974396902	0	0	0	0	0.019919657381893	0.0040384460059769	0.0137310768597027	0	Rhizhomorph_Stipe
ASV_5313	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_soil	ASV_5313	0	0.00976228828037292	0	0.0393071460391499	0	0	0	0.0108764220921886	0.0250927535712365	0.0157084511467169	0.0161325016132502	0	0	0	0.00686553842985136	0	Rhizhomorph_Soil associated
ASV_6046	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_6046	0	0	0	0.01048190561044	0	0.00867653863951874	0.0143239113827349	0.0174022753475017	0	0.00628338045868677	0	0	0.00663988579396434	0.00605766900896535	0.0085819230373142	0.00827791727601336	Rhizhomorph_Soil associated
ASV_6242	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_6242	0	0	0	0.01048190561044	0.0561250110773048	0	0	0.0174022753475017	0	0	0.00806625080662508	0	0.0132797715879287	0	0.0085819230373142	0.00827791727601336	Rhizhomorph_Soil associated
